Domain,date
Not assigned,2026-05-07
Not assigned,2026-05-07
Jaguar Land Rover Ltd,2026-05-07
Oracle Corporation,2026-05-07
"JCB Co., Ltd.",2026-05-07
Not assigned,2026-05-07
Island Networks (Jersey) Ltd.,2026-05-07
FCA US LLC.,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Reliance Industries Limited,2026-05-07
Not assigned,2026-05-07
Jones Lang LaSalle Incorporated,2026-05-07
University of West Indies,2026-05-07
Matrix IP LLC,2026-05-07
"Johnson & Johnson Services, Inc.",2026-05-07
Ministry of Digital Economy and Entrepreneurship (MoDEE),2026-05-07
Employ Media LLC,2026-05-07
ZA Central Registry NPC trading as ZA Central Registry,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"Japan Registry Services Co., Ltd.",2026-05-07
"JPMorgan Chase Bank, National Association",2026-05-07
"Japan Registry Services Co., Ltd.",2026-05-07
"Dog Beach, LLC",2026-05-07
"JUNIPER NETWORKS, INC.",2026-05-07
"Dog Beach, LLC",2026-05-07
KDDI CORPORATION,2026-05-07
Kenya Network Information Center (KeNIC),2026-05-07
Kerry Trading Co. Limited,2026-05-07
Not assigned,2026-05-07
Kerry Trading Co. Limited,2026-05-07
Kuwait Finance House,2026-05-07
AsiaInfo Telecommunication Enterprise,2026-05-07
Telecommunication Regulator of Cambodia (TRC),2026-05-07
